institution-id,institution-name,institution-url
63858,Washington Adventist University,http://www.wau.edu
61162,Drexel University,http://www.drexel.edu
60622,Bowie State University,http://www.bowiestate.edu
63734,University of the District of Columbia,http://www.udc.edu
62496,New Mexico State University,http://www.nmsu.edu
62666,Oral Roberts University,http://www.oru.edu
62415,Murray State University,http://www.murraystate.edu
63742,University of Tulsa,http://www.utulsa.edu
62923,Rose-Hulman Institute of Technology,http://www.rose-hulman.edu
60353,Abilene Christian University,http://www.acu.edu
62945,St. Edward's University,http://www.stedwards.edu
60320,Willamette University,http://www.willamette.edu
63542,University of Delaware,http://www.udel.edu
62616,Oakland University,http://www.oakland.edu
61029,Creighton University,http://www.creighton.edu
63536,University of Connecticut,http://www.uconn.edu
62964,Saint Marys College of California,http://www.stmarys-ca.edu
60120,Chapman University,http://www.chapman.edu
61466,Goucher College,http://www.goucher.edu
62170,Manhattan College,http://www.manhattan.edu
59944,SUNY College at Oswego,http://www.oswego.edu
59879,Evangel University,http://www.evangel.edu
60300,USC Viterbi School of Engineering,http://www.usc.edu
59876,Elmira College,http://www.elmira.edu
59938,New York Institute of Technology,http://www.nyit.edu
59889,Garden City Community College,http://www.gcccks.edu
60132,California State University Channel Islands,http://www.csuci.edu
59909,Indiana University-Purdue University-Indianapolis,http://www.iupui.edu
60275,University of Akron,http://www.uakron.edu
59919,Marietta College,http://www.marietta.edu
59873,Dominican College,http://www.dc.edu
60208,Northern Arizona University,http://nau.edu
60307,Valencia College,http://www.valenciacollege.edu
60093,University of Arizona,http://www.arizona.edu
60271,Tufts University,http://www.tufts.edu
59886,Finger Lakes Community College,http://www.flcc.edu
59867,University of Colorado Boulder,http://www.colorado.edu
60249,San Francisco State University,http://www.sfsu.edu
59843,Aurora University,http://www.aurora.edu
59948,Point Park University,http://www.pointpark.edu
