institution-id,institution-name,location-id
61461,Gonzaga University,80507
61461,Gonzaga University,141247
62736,Penn State Brandywine,139507
63535,University of Colorado-Colorado Springs,142849
63153,SIU Edwardsville,80709
63284,Fredonia,123888
63284,Fredonia,142896
63284,Fredonia,142530
63284,Fredonia,142519
63284,Fredonia,142897
63284,Fredonia,142895
63284,Fredonia,142529
60254,Saint Louis University-Main,139649
61016,Corning Community College,80502
62638,Ohio State University-Newark,126077
63053,Seattle University,94080
62474,Neumann University,92714
61198,Eastern New Mexico University-Main,141369
61198,Eastern New Mexico University-Main,142460
61198,Eastern New Mexico University-Main,142317
61198,Eastern New Mexico University-Main,142287
61198,Eastern New Mexico University-Main,142285
61198,Eastern New Mexico University-Main,142535
61198,Eastern New Mexico University-Main,142318
61198,Eastern New Mexico University-Main,142304
61198,Eastern New Mexico University-Main,142286
61585,Hilbert College,80437
59962,Southern New Hampshire University,80165
60777,Catholic University of America,80387
60777,Catholic University of America,140602
61389,Franklin W. Olin College of Engineering,141738
63238,Sterling College (KS),88621
61233,Elmhurst University,128562
63142,Southeastern Louisiana University,80647
63534,University of Colorado Denver,142280
63534,University of Colorado Denver,143687
63534,University of Colorado Denver,143688
59877,Embry-Riddle Aeronautical University-Prescott,79952
59836,Adler University,79836
59836,Adler University,135776
59935,Northern Illinois University,143765
59935,Northern Illinois University,143780
59935,Northern Illinois University,143787
59935,Northern Illinois University,143778
59935,Northern Illinois University,143785
59935,Northern Illinois University,143776
59935,Northern Illinois University,143783
59935,Northern Illinois University,143774
59935,Northern Illinois University,143781
59935,Northern Illinois University,143779
59935,Northern Illinois University,143786
59935,Northern Illinois University,143777
59935,Northern Illinois University,143784
59935,Northern Illinois University,143775
59935,Northern Illinois University,143782
62659,Old Dominion University,141718
60201,"Minnesota State University, Mankato",80063
60961,Colorado State University Pueblo,80894
63710,University of Richmond,139117
60283,University of Houston,142363
60283,University of Houston,142378
61581,High Point University,80783
61596,Hollins University,86840
61942,Keiser University,143844
61942,Keiser University,142525
